部品番号,型番,数量,説明,単価,メーカー
PART001,IC001,100,CPU,5000,Intel
PART002,RES001,500,抵抗10kΩ,10,Panasonic
PART003,CAP001,200,電解コンデンサ100μF,50,ELNA
PART004,LED001,1000,LED赤色,5,Osram
PART005,CONN001,50,コネクタ20pin,200,Hirose
PART006,CRYSTAL001,10,水晶発振器16MHz,300,KDS
PART007,TRANS001,20,トランジスタ2SC1815,15,Toshiba
PART008,DIODE001,30,ダイオード1N4148,8,ROHM
PART009,IC002,5,メモリ32MB,8000,SanDisk
PART010,THERMAL001,15,ヒートシンク,150,Alpha
PART011,RES002,300,抵抗1kΩ,8,Panasonic
PART012,LED002,800,LED青色,6,Osram
PART013,CONN002,40,コネクタ30pin,250,Hirose
PART014,CRYSTAL002,8,水晶発振器20MHz,350,KDS
PART015,TRANS002,25,トランジスタ2SC945,12,Toshiba
PART016,IC003,3,メモリ64MB,12000,SanDisk
PART017,THERMAL002,20,ヒートシンク大,200,Alpha
PART018,SENSOR001,5,温度センサー,800,Analog Devices
PART019,IC004,2,FPGA,25000,Xilinx
PART020,RES003,1000,抵抗100kΩ,12,Panasonic
PART021,CAP002,150,セラミックコンデンサ1μF,25,Murata
PART022,LED003,500,LED緑色,7,Osram
PART023,CONN003,30,コネクタ40pin,300,Hirose
PART024,CRYSTAL003,12,水晶発振器32MHz,400,KDS
PART025,TRANS003,35,トランジスタ2N3904,10,Fairchild
PART026,IC005,8,ADC 12bit,1500,TI
PART027,THERMAL003,25,ヒートシンク特大,250,Alpha
PART028,SENSOR002,3,湿度センサー,1200,Sensirion
PART029,IC006,1,マイコンARM,3000,STMicroelectronics
PART030,RES004,800,抵抗1MΩ,15,Panasonic
PART031,CAP003,100,タンタルコンデンサ10μF,80,AVX
PART032,LED004,600,LED白色,9,Osram
PART033,CONN004,20,コネクタ50pin,400,Hirose
PART034,CRYSTAL004,6,水晶発振器48MHz,500,KDS
PART035,TRANS004,40,トランジスタ2N2222,12,Fairchild
PART036,IC007,4,DAC 16bit,2000,TI
PART037,THERMAL004,30,ヒートシンク超特大,300,Alpha
PART038,SENSOR003,2,圧力センサー,2500,Bosch
PART039,IC008,6,オペアンプ,300,TI
PART040,RES005,1200,抵抗10MΩ,20,Panasonic
PART041,CAP004,80,フィルムコンデンサ100nF,35,Panasonic
PART042,LED005,400,LED黄色,6,Osram
PART043,CONN005,15,コネクタ60pin,500,Hirose
PART044,CRYSTAL005,4,水晶発振器64MHz,600,KDS
PART045,TRANS005,45,トランジスタ2N3906,14,Fairchild
PART046,IC009,2,コンパレータ,400,TI
PART047,THERMAL005,35,ヒートシンク巨大,350,Alpha
PART048,SENSOR004,1,加速度センサー,3000,Bosch
PART049,IC010,10,バッファ,150,TI
PART050,RES006,1500,抵抗100MΩ,25,Panasonic
